model,test_rmse,test_r2,train_rmse,train_r2,max_depth,n_estimators
LinearRegression,0.9929372037711208,0.7735871717843364,1.0003889524063434,0.7725158210237302,5.0,
DecisionTreeRegressor,0.9138954489777984,0.8081991655368876,0.7067069985638927,0.8864748176659096,5.0,
RandomForestRegressor,0.6625882928777901,0.8991803978341076,0.2875493808825901,0.9812051745178496,,200.0
