descriptor,delta_RMSE,delta_RMSE_std
LogP,1.9467344480546604,0.09561148184787041
BertzCT,0.25032893431497893,0.02566047268327242
MolWt,0.13295840958817054,0.011559649792494747
TPSA,0.10526782814536025,0.016976820694983897
HBA,0.025220546249644732,0.004794637923428615
AroProp,0.019110579335453216,0.0075330957312659125
RotB,0.008374702490498181,0.004664415636854194
