descriptor,gini_importance,perm_importance,perm_importance_std
LogP,0.8112209374788708,1.9467344480546607,0.0956114818478705
BertzCT,0.0806023290370053,0.25032893431497916,0.025660472683272414
MolWt,0.0481787022388851,0.1329584095881708,0.011559649792494754
TPSA,0.0260248399385555,0.10526782814536051,0.01697682069498391
HBA,0.0127044022725732,0.025220546249644964,0.00479463792342862
AroProp,0.0110667349829474,0.01911057933545344,0.007533095731265909
RotB,0.0102020540511623,0.008374702490498459,0.00466441563685418
