descriptor,gini_importance
LogP,0.8112209374788708
BertzCT,0.08060232903700534
MolWt,0.04817870223888519
TPSA,0.026024839938555575
HBA,0.012704402272573221
AroProp,0.011066734982947492
RotB,0.010202054051162321
