Descriptor,ΔRMSE,delta_RMSE_std
LogP,1.9467344480546604,0.0956114818478704
BertzCT,0.2503289343149789,0.0256604726832724
MolWt,0.1329584095881705,0.0115596497924947
TPSA,0.1052678281453602,0.0169768206949838
HBA,0.0252205462496447,0.0047946379234286
AroProp,0.0191105793354532,0.0075330957312659
RotB,0.0083747024904981,0.0046644156368541
