Descriptor,Importance
LogP,0.8112209374788708
BertzCT,0.0806023290370053
MolWt,0.0481787022388851
TPSA,0.0260248399385555
HBA,0.0127044022725732
AroProp,0.0110667349829474
RotB,0.0102020540511623
