Model,Test RMSE,Test R²
Random Forest (Tuned),0.639127399329104,0.9061936289713418
Random Forest (Base),0.6625882928777901,0.8991803978341076
DecisionTreeRegressor,0.9138954489777984,0.8081991655368876
Linear Regression,0.9929372037711208,0.7735871717843364
