model,seed,epoch,train_mse,val_mse
MLP_base,0,1,13.668152430800141,13.226560743231522
MLP_base,0,2,7.998810568012175,3.851739264371102
MLP_base,0,3,2.8132300796404563,1.1859534916124845
MLP_base,0,4,1.4580525266668185,1.142330667428803
MLP_base,0,5,1.262647685327165,0.9532739499159026
MLP_base,0,6,1.1289369799400288,0.8132050434748331
MLP_base,0,7,1.0232627828915914,0.9424285292625427
MLP_base,0,8,0.9205381758877489,0.6767998850136473
MLP_base,0,9,0.8698282525187633,0.7289530666250932
MLP_base,0,10,0.8082978604269809,0.7425342641378704
MLP_base,0,11,0.7607278115436679,0.6700632781313177
MLP_base,0,12,0.7152788495105472,0.6820143597167835
MLP_base,0,13,0.671976770957311,0.6082793191859597
MLP_base,0,14,0.641758009319097,0.5794351571484616
MLP_base,0,15,0.6241807370237965,0.5779830008222345
MLP_base,0,16,0.5917822329398713,0.6891854008038839
MLP_base,0,17,0.5761056091616062,0.5940030415852865
MLP_base,0,18,0.5513322568656317,0.5984368888955367
MLP_base,0,19,0.5419805300366032,0.537785950459932
MLP_base,0,20,0.5250698355377698,0.5287526030289499
MLP_base,0,21,0.5268564849603371,0.5594307205133271
MLP_base,0,22,0.5018755129126252,0.6355092494111312
MLP_base,0,23,0.5121819186731765,0.5790889148126569
MLP_base,0,24,0.4992782184986469,0.5330627602443361
MLP_base,0,25,0.5047908978058341,0.5195094890761793
MLP_base,0,26,0.479836612646697,0.5156194379455165
MLP_base,0,27,0.4778285364961364,0.5218818009945384
MLP_base,0,28,0.4707495393323117,0.5166329762391877
MLP_base,0,29,0.46180484513116016,0.5288045092632896
MLP_base,0,30,0.4618904028759628,0.5259556205649125
MLP_base,0,31,0.45132598714098904,0.5078133491047642
MLP_base,0,32,0.44994028868571007,0.5280045574171501
MLP_base,0,33,0.44243279086436077,0.5154680327365273
MLP_base,0,34,0.4416274336517834,0.5099960680593524
MLP_base,0,35,0.43958788341511795,0.48632431866829856
MLP_base,0,36,0.430935187043388,0.5195610387283459
MLP_base,0,37,0.42514620791367497,0.49282884179500114
MLP_base,0,38,0.4226482774390549,0.48150066848386797
MLP_base,0,39,0.4162980644755025,0.47978863590642024
MLP_base,0,40,0.427239079097581,0.4961316167262563
MLP_base,0,41,0.41767604943833064,0.4721675807969612
MLP_base,0,42,0.41495753005554115,0.471819866121861
MLP_base,0,43,0.40078232871378705,0.5246395437340987
MLP_base,0,44,0.41018231511116027,0.5174214306630587
MLP_base,0,45,0.40633069341951383,0.4796122207976224
MLP_base,0,46,0.39769478176460893,0.50455102272201
MLP_base,0,47,0.40293417211438787,0.5136187923581976
MLP_base,0,48,0.38990208933262227,0.47370736536226776
MLP_base,0,49,0.39174206797542466,0.48150173404760527
MLP_base,0,50,0.3863616672858514,0.46833489756835134
MLP_base,0,51,0.392170833043062,0.569739720277619
MLP_base,0,52,0.40625764569623873,0.5521119320601747
MLP_base,0,53,0.4007653229874991,0.46502697467803955
MLP_base,0,54,0.39720098666154624,0.5021273420568098
MLP_base,0,55,0.37937559475664234,0.5077245005390101
MLP_base,0,56,0.3832683858975687,0.46045551279134916
MLP_base,0,57,0.3863562309025415,0.45663692658407645
MLP_base,0,58,0.40032887971792064,0.4983022474406058
MLP_base,0,59,0.3940000665969536,0.46965264855769645
MLP_base,0,60,0.3816127751042934,0.46839433908462524
MLP_base,0,61,0.37879767492820654,0.4894033116206788
MLP_base,0,62,0.3677416348066486,0.5186272242613006
MLP_base,0,63,0.3793538496793945,0.5879780995218378
MLP_base,0,64,0.3804058486646642,0.4864379690404524
MLP_base,0,65,0.37658816110240956,0.44930641588411835
MLP_base,0,66,0.36678990259196587,0.456604076059241
MLP_base,0,67,0.35603600650862915,0.44718578300978007
MLP_base,0,68,0.35781489180736853,0.4662418438677202
MLP_base,0,69,0.36901424504368685,0.5598498248217398
MLP_base,0,70,0.3520094324656523,0.507830866596155
MLP_base,0,71,0.3449812916784339,0.47090663407978256
MLP_base,0,72,0.3394671635875285,0.5204565776021857
MLP_base,0,73,0.34217679432181064,0.47519080157865556
MLP_base,0,74,0.33842224122070874,0.46498774959329975
MLP_base,0,75,0.34494086370442084,0.462334788682168
MLP_base,0,76,0.3443788754158333,0.5281590819358826
MLP_base,0,77,0.3391662437407697,0.4750014627188967
MLP_base,0,78,0.3404997534602066,0.4780699809392293
MLP_base,0,79,0.33212690628617186,0.4677741056994388
MLP_base,0,80,0.33517902513019376,0.4614588785589787
MLP_base,0,81,0.3309072071737279,0.4491254446799295
MLP_base,0,82,0.3312546875307469,0.46752394186822993
MLP_base,0,83,0.3272856677164797,0.5065031177119205
MLP_base,0,84,0.32506286159890596,0.5563999226218775
MLP_base,0,85,0.34612249015458946,0.47803567689761783
MLP_base,0,86,0.33222812202458823,0.4574298659960429
MLP_base,0,87,0.3372267432877275,0.4483986444640578
MLP_base,0,88,0.3306962807321809,0.5140232339239957
MLP_base,0,89,0.31876023649517954,0.5338369733408878
MLP_base,0,90,0.32970904652538197,0.5373948456948263
MLP_base,0,91,0.3255870126961359,0.48146660390653107
MLP_base,0,92,0.31363463061429114,0.4515568174813923
MLP_base,0,93,0.3081032623358763,0.5040934786461947
MLP_base,0,94,0.3073699349262675,0.4780893493116948
MLP_base,0,95,0.3086789188489236,0.46294775866625604
MLP_base,0,96,0.3224822226117869,0.4635024949123985
MLP_base,0,97,0.3122740676494244,0.4351538545206973
MLP_base,0,98,0.3139938206620555,0.46107881947567586
MLP_base,0,99,0.31583498345046745,0.46484376254834625
MLP_base,0,100,0.3262877879898405,0.44400314385430856
MLP_base,1,1,15.314113733677265,15.420107891685085
MLP_base,1,2,13.828357440135518,12.219208901388603
MLP_base,1,3,8.221565923534456,3.039351739381489
MLP_base,1,4,2.5375876900928267,1.5372606453142668
MLP_base,1,5,1.5050830343381956,1.4619644545672232
MLP_base,1,6,1.3554526958309236,1.2759821122152764
MLP_base,1,7,1.2379236571124344,1.1861210162179512
MLP_base,1,8,1.1641688768980933,1.1254362307096784
MLP_base,1,9,1.0899331709074844,1.0590471092023348
MLP_base,1,10,1.0258830895840796,1.0529989045962953
MLP_base,1,11,0.9750783929407922,0.9465892126685694
MLP_base,1,12,0.9131118533389816,0.9274114203034786
MLP_base,1,13,0.8538893423119529,0.8434643348058065
MLP_base,1,14,0.79649149309742,0.7797035010237443
MLP_base,1,15,0.7400450685636594,0.7630239076781691
MLP_base,1,16,0.7251513576898418,0.6979432367441947
MLP_base,1,17,0.6917493338141937,0.6463675530333268
MLP_base,1,18,0.6601234486845673,0.6575775941212972
MLP_base,1,19,0.6474098440727901,0.6702428073213812
MLP_base,1,20,0.633787214528016,0.5945792051783779
MLP_base,1,21,0.6271632170416618,0.647052128064005
MLP_base,1,22,0.6068185871416102,0.6012686281873468
MLP_base,1,23,0.5942581792346767,0.5658767390669438
MLP_base,1,24,0.5884250186180157,0.5561604489359939
MLP_base,1,25,0.5916866940553072,0.5503011471346805
MLP_base,1,26,0.550638262202831,0.5406301617622375
MLP_base,1,27,0.5421288903293714,0.5431473161044874
MLP_base,1,28,0.5374887170035982,0.5336163127631471
MLP_base,1,29,0.5347998383266678,0.5162478737663805
MLP_base,1,30,0.5195075622998951,0.5303406673565245
MLP_base,1,31,0.5149076159534559,0.5126793813287166
MLP_base,1,32,0.511799377952117,0.5249776735640409
MLP_base,1,33,0.5299530111049694,0.5477462149502939
MLP_base,1,34,0.517019622703719,0.5016352889830606
MLP_base,1,35,0.49616510265511893,0.5207129413621467
MLP_base,1,36,0.4958747091514817,0.49827384844160916
MLP_base,1,37,0.48679805713924557,0.4627654887082284
MLP_base,1,38,0.48439046144485476,0.5094205956710013
MLP_base,1,39,0.4808112199514941,0.4693413272238614
MLP_base,1,40,0.4655993417312539,0.46586165459532486
MLP_base,1,41,0.4749110950961139,0.4980984528859456
MLP_base,1,42,0.4591676454075047,0.4869998756207918
MLP_base,1,43,0.4671027948947552,0.4631625079272086
MLP_base,1,44,0.44964401428816747,0.4535118932263893
MLP_base,1,45,0.4548770188308153,0.46345041456975433
MLP_base,1,46,0.4767463549564445,0.49068087339401245
MLP_base,1,47,0.4483714698442344,0.44925289875582647
MLP_base,1,48,0.44291704424092027,0.46835830127983763
MLP_base,1,49,0.4367351850362423,0.45719934398667855
MLP_base,1,50,0.43066395420194326,0.4344793568577683
MLP_base,1,51,0.4274851276249182,0.45690879539439555
MLP_base,1,52,0.42935208072427844,0.46021953695698786
MLP_base,1,53,0.43589417087575777,0.45585410898191886
MLP_base,1,54,0.42755503400427397,0.4914116566641289
MLP_base,1,55,0.4336122778432617,0.45933611873994795
MLP_base,1,56,0.41523142851115574,0.4315401760109684
MLP_base,1,57,0.41465171259609074,0.432606766098424
MLP_base,1,58,0.43239630496567066,0.48917912704902783
MLP_base,1,59,0.41960844576684503,0.4582484573648687
MLP_base,1,60,0.40994957623585976,0.4494204092444035
MLP_base,1,61,0.4054161618967525,0.4361234908564049
MLP_base,1,62,0.41455100175461485,0.47607148634760005
MLP_base,1,63,0.41916622581377705,0.42939178880892304
MLP_base,1,64,0.42175576071270177,0.46786489089330036
MLP_base,1,65,0.4038718929707678,0.4179732328967044
MLP_base,1,66,0.3940274224255254,0.4201094372230664
MLP_base,1,67,0.3899160279602301,0.4320736569270753
MLP_base,1,68,0.40244963608804296,0.4523161884985472
MLP_base,1,69,0.410931892375477,0.4533106820625171
MLP_base,1,70,0.3952778223922344,0.4356093207995097
