model,optimizer,n_features,hidden,dropout,lr,weight_decay,best_val_mse,test_rmse
(32-16)_0.2,adam_lr2e-3_wd1e-4,11,"(32, 16)",0.2,0.002,0.0001,0.46081946920930295,0.7044872974458658
(32-16)_0.0,adam_lr1e-3_wd1e-4,7,"(32, 16)",0.0,0.001,0.0001,0.4618211681382698,0.7029402691971073
(32-16)_0.0,adam_lr5e-4_wd1e-4,11,"(32, 16)",0.0,0.0005,0.0001,0.46208602137732924,0.7149095845285546
(128-64)_0.1,adam_lr5e-4_wd1e-4,7,"(128, 64)",0.1,0.0005,0.0001,0.462130724338063,0.6889633673795876
(64-32)_0.1,adam_lr1e-3_wd1e-3,11,"(64, 32)",0.1,0.001,0.001,0.4624357955497608,0.6591675701901194
(64-32-16-8)_0.2,adam_lr2e-3_wd1e-3,7,"(64, 32, 16, 8)",0.2,0.002,0.001,0.4624448680041129,0.7288033415835012
(64-32-16)_0.0,adam_lr5e-4_wd0,7,"(64, 32, 16)",0.0,0.0005,0.0,0.46258004506429035,0.6965060051668942
(256-128)_0.4,adam_lr5e-4_wd0,7,"(256, 128)",0.4,0.0005,0.0,0.4628145088229263,0.6671579669630369
(128-64)_0.0,adam_lr5e-4_wd0,7,"(128, 64)",0.0,0.0005,0.0,0.46303942538144294,0.6679114006014777
(64-32)_0.1,adam_lr2e-3_wd1e-4,7,"(64, 32)",0.1,0.002,0.0001,0.46335801952763606,0.65380406579259
(128-64)_0.0,adam_lr2e-3_wd1e-5,7,"(128, 64)",0.0,0.002,1e-05,0.4635534213300337,0.6676169704090624
(128-64)_0.1,adam_lr5e-4_wd1e-3,7,"(128, 64)",0.1,0.0005,0.001,0.4637497234762761,0.6646681721596807
(32-16)_0.1,adam_lr2e-3_wd1e-4,7,"(32, 16)",0.1,0.002,0.0001,0.4637845806908189,0.6674616992194833
(32-16)_0.2,adam_lr2e-3_wd1e-5,11,"(32, 16)",0.2,0.002,1e-05,0.46380250077498586,0.6803337435483389
(64-32)_0.1,adam_lr2e-3_wd0,7,"(64, 32)",0.1,0.002,0.0,0.46444585971664964,0.6834746259117522
(256-128)_0.4,adam_lr1e-3_wd1e-4,7,"(256, 128)",0.4,0.001,0.0001,0.4644543957291988,0.6450534591789139
(64-32)_0.2,adam_lr1e-3_wd1e-3,7,"(64, 32)",0.2,0.001,0.001,0.46462801778525636,0.6797646628850258
(64-32-16-8)_0.1,adam_lr1e-3_wd1e-3,7,"(64, 32, 16, 8)",0.1,0.001,0.001,0.4648963882212053,0.691861322279068
(64-32-16)_0.0,adam_lr1e-3_wd0,7,"(64, 32, 16)",0.0,0.001,0.0,0.4666225491908559,0.6741257214328948
(32-16)_0.2,adam_lr2e-3_wd1e-3,11,"(32, 16)",0.2,0.002,0.001,0.4666846384081924,0.6995977472119623
(64-32)_0.1,adam_lr5e-4_wd1e-5,7,"(64, 32)",0.1,0.0005,1e-05,0.4672366798969737,0.6764269723217603
(64-32-16)_0.1,adam_lr1e-3_wd1e-4,7,"(64, 32, 16)",0.1,0.001,0.0001,0.46747686779289915,0.6602887216255736
(64-32-16)_0.2,adam_lr1e-3_wd1e-5,11,"(64, 32, 16)",0.2,0.001,1e-05,0.46761124698739304,0.646742655727408
(64-32-16-8)_0.2,adam_lr2e-3_wd0,7,"(64, 32, 16, 8)",0.2,0.002,0.0,0.46849194848746584,0.6809839834738355
(64-32-16-8)_0.1,adam_lr1e-3_wd1e-3,11,"(64, 32, 16, 8)",0.1,0.001,0.001,0.46875507005474026,0.6757603356633215
(64-32-16)_0.2,adam_lr1e-3_wd1e-3,11,"(64, 32, 16)",0.2,0.001,0.001,0.4690032256276984,0.6966100247371013
(64-32-16)_0.0,adam_lr2e-3_wd1e-5,7,"(64, 32, 16)",0.0,0.002,1e-05,0.4690946026852256,0.6517628425866967
(64-32)_0.1,adam_lr5e-4_wd1e-3,11,"(64, 32)",0.1,0.0005,0.001,0.4691447124146579,0.6825504460884212
(64-32)_0.1,adam_lr1e-3_wd1e-3,7,"(64, 32)",0.1,0.001,0.001,0.4692475900315402,0.687872533925521
(64-32-16)_0.0,adam_lr5e-4_wd1e-4,7,"(64, 32, 16)",0.0,0.0005,0.0001,0.4693126762122439,0.6723527893113092
(32-16)_0.1,adam_lr2e-3_wd1e-5,7,"(32, 16)",0.1,0.002,1e-05,0.46940311632658305,0.6848805777377412
(64-32)_0.4,adam_lr2e-3_wd1e-5,11,"(64, 32)",0.4,0.002,1e-05,0.47009126449886124,0.6912290414898591
(64-32-16-8)_0.2,adam_lr2e-3_wd1e-5,7,"(64, 32, 16, 8)",0.2,0.002,1e-05,0.4707864355622676,0.7133660888065314
(256-128)_0.4,adam_lr5e-4_wd1e-5,7,"(256, 128)",0.4,0.0005,1e-05,0.47097495250534593,0.6776874904095442
