model,resid_mean,resid_std,median_abs_err,p90_abs_err,p95_abs_err,rmse_mean,rmse_std,rmse_min,rmse_max
RF,-0.019248720362006137,0.7095580254325975,0.3626009126984142,1.094224195238095,1.44088010297619,0.7049466222206029,0.08473835042318056,0.5189604712974099,0.8882306989797619
MLP_base,0.01455966826107191,0.679169930367507,0.3714020252227783,1.0862687587738036,1.3555895805358873,0.6759972171111324,0.06855304132308114,0.5685039533009627,0.8621008476391252
MLP_ext,-0.006853904703389043,0.6505572632521367,0.352649450302124,1.0409909725189206,1.3558648228645314,0.6483867981282586,0.054641699827655925,0.5571168865460738,0.7830669294170064
