model,optimizer,hidden,dropout,lr,weight_decay,best_val_mse,test_rmse
(64-32)_0.4,adam_lr2e-3,"(64, 32)",0.4,0.002,0.0001,0.4884616554829112,0.7047263864062792
(128-64)_0.2,adam_lr5e-4,"(128, 64)",0.2,0.0005,0.0001,0.48918099675262183,0.6747277499374675
(64-32)_0.1,adam_lr5e-4,"(64, 32)",0.1,0.0005,0.0001,0.49022602093847173,0.6771399706283923
(32-16)_0.0,adam_lr5e-4,"(32, 16)",0.0,0.0005,0.0001,0.49068915530254964,0.7062794350085592
(64-32-16-8)_0.1,adam_lr5e-4,"(64, 32, 16, 8)",0.1,0.0005,0.0001,0.49095635037673147,0.7086170827407852
(128-64)_0.4,adam_lr1e-3,"(128, 64)",0.4,0.001,0.0001,0.49984800188164963,0.6840056196723177
(64-32-16)_0.4,adam_lr2e-3,"(64, 32, 16)",0.4,0.002,0.0001,0.5034663436705606,0.753589273887257
(64-32-16)_0.1,adam_lr5e-4,"(64, 32, 16)",0.1,0.0005,0.0001,0.5088011842024954,0.6903972826680043
(64-32)_0.2,adam_lr5e-4,"(64, 32)",0.2,0.0005,0.0001,0.5168687429344445,0.7083477335065315
(32-16)_0.2,adam_lr1e-3,"(32, 16)",0.2,0.001,0.0001,0.5291399025080497,0.7344521541100965
(32-16)_0.1,adam_lr1e-3,"(32, 16)",0.1,0.001,0.0001,0.5328473281442073,0.724436686730864
(128-64)_0.4,adam_lr5e-4,"(128, 64)",0.4,0.0005,0.0001,0.5464780790763989,0.7028778039696558
(64-32-16)_0.2,adam_lr5e-4,"(64, 32, 16)",0.2,0.0005,0.0001,0.5498186402153551,0.7143978490980403
(64-32-16)_0.4,adam_lr1e-3,"(64, 32, 16)",0.4,0.001,0.0001,0.5503885651889601,0.7449046557927563
(32-16)_0.1,adam_lr5e-4,"(32, 16)",0.1,0.0005,0.0001,0.5544062654177347,0.734446065324362
(32-16)_0.4,adam_lr2e-3,"(32, 16)",0.4,0.002,0.0001,0.5560631459219414,0.7407899729165439
(64-32)_0.4,adam_lr1e-3,"(64, 32)",0.4,0.001,0.0001,0.561535892779367,0.729205493643567
(64-32-16-8)_0.2,adam_lr1e-3,"(64, 32, 16, 8)",0.2,0.001,0.0001,0.5764383956005699,0.7485653254518391
(64-32-16-8)_0.2,adam_lr5e-4,"(64, 32, 16, 8)",0.2,0.0005,0.0001,0.5775994961721855,0.740964031773098
(64-32)_0.4,adam_lr5e-4,"(64, 32)",0.4,0.0005,0.0001,0.608360252882305,0.7524424925279328
(64-32-16-8)_0.4,adam_lr2e-3,"(64, 32, 16, 8)",0.4,0.002,0.0001,0.6378251188679745,0.8230880949594017
(64-32-16)_0.4,adam_lr5e-4,"(64, 32, 16)",0.4,0.0005,0.0001,0.6451479949449238,0.8171452817635779
(32-16)_0.2,adam_lr5e-4,"(32, 16)",0.2,0.0005,0.0001,0.6604009720317104,0.787169441534714
(32-16)_0.4,adam_lr1e-3,"(32, 16)",0.4,0.001,0.0001,0.7604943357015911,0.8611336799334404
(64-32-16-8)_0.4,adam_lr1e-3,"(64, 32, 16, 8)",0.4,0.001,0.0001,0.826424661435579,0.9451897445844248
(64-32-16-8)_0.4,adam_lr5e-4,"(64, 32, 16, 8)",0.4,0.0005,0.0001,0.8597254711284972,0.9806952622720065
(32-16)_0.4,adam_lr5e-4,"(32, 16)",0.4,0.0005,0.0001,0.9289126030185766,0.9608632835403869
